slang_term,meaning,slang_sentence,normal_sentence,semantic_category,category,platform,date_added,frequency_score,trend_status,source
rizz,charisma or flirting skill,He has such good rizz with everyone he meets.,He has such great charm with everyone he meets.,metaphorical_extension,compliment,TikTok,2026-03-18,80,trending,original
delulu,being delusional,She is totally delulu about that relationship.,She is completely delusional about that relationship.,abbreviation_or_expression,humor,TikTok,2026-03-18,80,trending,original
mid,average or not good,"That movie was so mid, not worth watching.","That movie was so average, not worth watching.",pejoration,criticism,Instagram,2026-03-18,80,trending,original
sus,suspicious,That whole situation is sus.,That whole situation seems suspicious.,pejoration,expression,Discord,2026-03-18,80,trending,original
goofy,silly or weird,He acting goofy in front of everyone.,He is acting silly in front of everyone.,abbreviation_or_expression,insult,TikTok,2026-03-18,75,trending,original
ahh,expression filler,She is giving ahh energy today.,She is showing expression filler energy today.,abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
cook,do something well,"Let him cook, he knows what he is doing.","Let him do his thing, he knows what he is doing.",metaphorical_extension,expression,Chat,2026-03-18,75,trending,original
cooked,in trouble or did well,He is cooked after that performance.,He is in serious trouble after that performance.,metaphorical_extension,expression,Chat,2026-03-18,75,trending,original
nah fr,seriously,Nah fr that was the best meal ever.,No seriously that was the best meal ever.,abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
frfr,for real for real,That was crazy frfr.,That was genuinely crazy.,narrowing,expression,Chat,2026-03-18,75,trending,original
wtf,what the hell,Wtf just happened in that game?,What the hell just happened in that game?,abbreviation_or_expression,reaction,Chat,2026-03-18,75,trending,original
idk,i don't know,"Idk man, this situation is confusing.","I do not know man, this situation is confusing.",abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
imo,in my opinion,Imo this is a waste of time.,In my opinion this is a waste of time.,abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
irl,in real life,He is way nicer irl than online.,He is way nicer in real life than online.,abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
af,as f***,"She is smart af, no joke.","She is extremely smart, no joke.",abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
ngl,not gonna lie,Ngl that pizza was top tier.,"Not gonna lie, that pizza was extremely good.",abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
tbh,to be honest,Tbh I was not expecting that.,To be honest I was not expecting that.,abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
glazing,overpraising,"Stop glazing him, he made a mistake.","Stop overpraising him, he made a mistake.",metaphorical_extension,criticism,TikTok,2026-03-18,75,trending,original
meatriding,excessive support,He meatriding that celebrity for clout.,He is excessively supporting that celebrity for attention.,metaphorical_extension,insult,TikTok,2026-03-18,75,trending,original
corny,cringey,"That joke was so corny, I can't.",That joke was so cringey and unoriginal.,pejoration,criticism,Chat,2026-03-18,75,trending,original
valid,acceptable,Your feelings are totally valid.,Your feelings are completely acceptable and understandable.,amelioration,expression,Chat,2026-03-18,75,trending,original
invalid,not acceptable,"That argument is invalid, it makes no sense.","That argument is not acceptable, it makes no sense.",pejoration,expression,Chat,2026-03-18,75,trending,original
down bad,desperate,He is so down bad for her.,He is desperately attracted to her.,narrowing,emotion,Chat,2026-03-18,75,trending,original
locked in,focused,She is locked in for this exam.,She is completely focused for this exam.,metaphorical_extension,expression,Chat,2026-03-18,75,trending,original
outta pocket,unexpected,That comment was outta pocket.,That comment was completely inappropriate.,pejoration,expression,Chat,2026-03-18,75,trending,original
say less,understood,"Say less, I already got you.","You do not need to say more, I already understand.",narrowing,expression,Chat,2026-03-18,75,trending,original
on god,seriously,"I am serious on god, I saw it happen.","I am being completely serious, I saw it happen.",narrowing,expression,Chat,2026-03-18,75,trending,original
deadass,seriously,I am deadass not joking right now.,I am being completely serious right now.,narrowing,expression,Chat,2026-03-18,75,trending,original
hella,very,That was hella funny bro.,That was extremely funny man.,abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
yapping,talking too much,He keeps yapping about the same thing.,He keeps talking too much about the same thing.,metaphorical_extension,criticism,Chat,2026-03-18,75,trending,original
low effort,not trying,That was a total low effort moment.,That was a complete not trying moment.,abbreviation_or_expression,criticism,Chat,2026-03-18,75,trending,original
