Word,Meaning
Word,Meaning
Sigma,Independent confident person
Rizz,Charm or flirting ability
Gyatt,Expression of surprise
Mid,Average or boring
NPC,Unoriginal person
Based,Confident and unapologetic
Cringe,Embarrassing
Slay,Did very well
Sus,Suspicious
Bussin,Very good
Cap,Lie
No Cap,Truth
Bet,Okay
Fire,Awesome
Lit,Exciting
Drip,Stylish outfit
Flex,Show off
Lowkey,Quietly
Highkey,Strongly
Ghosting,Sudden ignoring
Shook,Surprised
Vibe,Feeling or mood
Main Character,Confident person
Side Quest,Small task
Touch Grass,Go outside
Ratio,More negative replies
W,Win
L,Loss
Sheesh,Amazement
Ate,Did perfectly
Delulu,Delusional
Stan,Big fan
Iykyk,If you know you know
Simp,Overly devoted
Glow Up,Big improvement
Clapback,Smart comeback
Snack,Attractive person
Tea,Gossip
Spill the Tea,Share gossip
Goated,Greatest ever
AF,Very
Fr,For real
POV,Point of view
Real One,Loyal person
Boujee,Fancy
Cheugy,Outdated trend
Fit,Outfit
Say Less,I understand
Hits Different,Feels special
Hard,Very impressive
Soft Launch,Subtle announcement
Hard Launch,Public reveal
Era,Life phase
Canon Event,Important moment
Caught in 4K,Exposed clearly
Rent Free,Living in mind
Manifest,Wish into reality
Period,End of discussion
Valid,Correct
It’s Giving,Feels like
Core Memory,Unforgettable moment
Slaps,Very good
Dead,Very funny
Sending Me,Extremely funny
Big Yikes,Very awkward
OK Boomer,Dismissal phrase
Extra,Overdramatic
Savage,Brutally honest
Basic,Unoriginal
Hype,Excitement
FOMO,Fear of missing out
YOLO,You only live once
BDE,Big confidence energy
CEO Of,Best at something
Vibey,Good atmosphere
On God,Swear truth
Facts,True
Ship,Support relationship
Cancel,Public rejection
Receipts,Proof
Mood,Relatable
Pick Me,Attention seeker
Gatekeep,Restrict access
Gaslight,Manipulate perception
Red Flag,Warning sign
Green Flag,Good sign
Dry,Boring
Salty,Upset
Pressed,Angry
Big Brain,Smart move
Brain Rot,Overconsumed content
Lore,Background story
Mic Drop,Strong ending
Chaotic,Wild behavior
Unhinged,Crazy funny
Iconic,Legendary
Doomscroll,Endless scrolling
Beige Flag,Neutral trait
Roman Empire,Obsessive thought
Soft Life,Peaceful lifestyle
Hard Pass,No interest
Digital Footprint,Online record
Alt,Alternative account
Finna,Going to
Deadass,Seriously
Gucci,Good
Shadowban,Hidden by algorithm
Feral,Out of control
Corecore,Absurd meme style
Main,Favorite person
Headcanon,Personal belief
Wholesome,Heartwarming
Unalive,Kill censored
Drippy,Stylish
Fit Check,Show outfit
Cracked,Extremely good
Sweaty,Try hard
OP,Overpowered
GG,Good game
Noob,Beginner
Tryhard,Overcompetitive
Laggy,Slow
Buff,Improve power
Nerf,Reduce power
Grind,Work hard
AFK,Away from keyboard
IRL,In real life
DM,Private message
Ping,Notify
Mod,Moderator
Ban,Block user
Mute,Silence user
Toxic,Negative behavior
Cope,Deal with loss
Seethe,Angry reaction
Hot Take,Controversial opinion
Cold Take,Common opinion
Clout,Popularity
Clout Chaser,Attention seeker
Soft Boy,Emotional guy
Eboy,Internet style boy
Egirl,Internet style girl
Down Bad,Desperate
Absolute Unit,Very big
Smol,Small and cute
Yeet,Throw
Big Mood,Very relatable
Zesty,Flamboyant
Bop,Catchy song
Viral,Spreading fast
Influencer,Online promoter
Algorithm,Content selector
For You Page,Main TikTok feed
Dupe,Fake product
Aesthetic,Visual style
Clean Girl,Minimalist look
Normalize It,Make acceptable
Unproblematic,Drama free
Problematic,Controversial
Side Eye,Suspicious look
Bombastic Side Eye,Extreme judgment
Caught Lacking,Unprepared
No Shot,Impossible
Big Flex,Major show off
Low Effort,Minimal work
High Effort,Maximum work
Full Send,Go all in
Vibe Check,Test mood
Energy,Attitude
Soft Block,Silent removal
Hard Block,Direct removal
Girl Math,Justifying spending
Boy Math,Justifying logic
Main Quest,Important task
Side Hustle,Extra income
Villain Arc,Revenge phase
Hater,Negative person
Supporter,Positive fan
Based Take,Good opinion
Wildin,Acting crazy
Tweaking,Overreacting
Cooked,In trouble
Let Him Cook,Allow success
Cook,Perform well
Chat,Audience or group
NPC Walk,Robotic movement
NPC Energy,Robotic vibe
Main Character Energy,Confident vibe
Standing on Business,Being serious
Big Stepper,Important person
Soft Era,Peaceful phase
Glow Season,Success phase
Touch Base,Reconnect
We Move,Continue anyway
Say It Louder,Strong agreement
That Ain’t It,Not acceptable
Stay Winning,Keep succeeding
Stay Mad,Remain angry
No Thoughts Head Empty,Blank mind
Catch These Hands,Fight threat
Caught Slipping,Making mistake
Low Battery,Socially tired
Social Battery,Energy for people
