slang_sentence,normal_sentence,slang_term,tone,difficulty,is_hard_negative
"AFAIK, we're still meeting at 5, stop asking","As far as I know, we are still meeting at 5, stop asking",AFAIK,annoyed,clear,False
I'm lowkey waiting for the anime to do a time skip already,I am waiting for the anime to skip forward in time already,Time Skip,hype,ambiguous,True
You're giving me Stan Behavior vibes with how much you love that band,You're showing extreme dedication to that band,Stan Behavior,playful,ambiguous,False
"Dude, I'm so G2R after that exam","Dude, I'm so good to relax after that exam",G2R,chill,ambiguous,False
You're my pet peeve for always making me laugh,You annoy me in a charming way for always making me laugh,Pet Peeve,affectionate,clear,False
Bro just got destroyed in that match needs a brain check,That player just got badly defeated and needs to rethink their strategy,Brain Check,dramatic,clear,False
I'm trying to get from school to restaurant,"I'm attempting to travel from school to a restaurant via the Street to Restaurant route, S2R",S2R,hype,edge,True
i did the bare minimum to pass the test,i did the bare minimum to pass the test,bare minimum,affectionate,ambiguous,True
I'm having an inbox overflow with all these fire collabs coming in,I'm getting too many exciting collaboration offers at once,Inbox Overflow,hype,edge,False
"This homework is so ND, thanks for nothing teacher","This homework is really not difficult, thanks for nothing teacher",ND,sarcastic,clear,False
This party is gonna be lit af tonight,This party is going to be extremely exciting and fun tonight,lit af,hype,ambiguous,False
I'm having a major crisis because I just posted a selfie and you still haven't liked it,I'm upset because you haven't liked my recently posted picture of myself,SELFIE,dramatic,clear,False
"This new gaming headset is LTD, I need it ASAP","This new gaming headset is limited, I need it as soon as possible",LTD,playful,clear,False
This BLNT take on the issue is getting ratioed,This extremely blunt and honest opinion on the issue is being heavily criticized,BLNT,deadpan,edge,False
You're really cute period,"You are really cute, and that's a fact.",period,chill,clear,False
I'm so done with this grind,I am extremely frustrated with this constant and exhausting effort,Grind,annoyed,ambiguous,False
My G/F is being super extra today,My girlfriend is being ridiculously dramatic today,G/F,sarcastic,ambiguous,False
"I'm so excited to do homework all night, DNT",I'm not excited to do homework all night,DNT,sarcastic,ambiguous,False
That test was a wake up call,That test was a surprise that made me realize I need to study,Wake Up Call,chill,ambiguous,False
I just saw a cyal8r on my desk,I just saw a see you later sign on my desk,CYAL8R,annoyed,ambiguous,True
You've been living rent free in my head all day,You've been constantly on my mind all day,Rent free,playful,edge,False
This ES gameplay is insane!,This extremely satisfying gameplay is insane!,ES,hype,edge,False
This homework is so much fun FTW,This homework is absolutely terrible,FTW,sarcastic,clear,False
I'm heading to the Tournament of Universities,I'm heading to the Tournament of Universities,TOU,playful,ambiguous,True
"This take is KS, no one asked for it","This opinion is kill-stealing, no one asked for it",KS,deadpan,clear,False
This plot twist was a sharp turn and I am here for it,This plot twist was completely unexpected and I really like it,Sharp Turn,hype,edge,False
"Great post, really needed to see that, STW","Great post, I really needed to see that, said no one truly",STW,sarcastic,clear,False
You can talk your talk but show me the results,You can say what you want but show me the results,Talk Your Talk,deadpan,ambiguous,False
The captain yelled at me to respect RHIP,The captain yelled at me to respect rank having privilege,RHIP,chill,clear,True
The UFB on the construction site was huge,The Unfinished Basement on the construction site was huge,UFB,deadpan,ambiguous,True
I just saw a good luck to you sign on the highway,I just saw a good luck to you sign on the highway,GL2U,hype,edge,True
I'm so stan for Billie Eilish's new album,I'm a huge fan of Billie Eilish's new album,so stan,chill,clear,False
That concert was W af,That concert was really awesome,W af,chill,clear,False
"I'm still in Budget Era, can't afford anything","I'm still on a very tight budget, cannot afford anything",Budget Era,dramatic,clear,False
You're throwing so much heat I'm low-key obsessed,You're extremely attractive and I'm secretly obsessed,throwing,hype,clear,False
Just got my homework done with my H&K,Just got my homework done with my headphones and keyboard,H&K,deadpan,clear,False
I'm lowkey waiting for my senpai to notice me,I am quietly waiting for my crush to notice me,SENPAI,deadpan,edge,False
You're such a tryhard for pulling off that insane gaming combo,You're trying too hard and it's actually really impressive that you managed that difficult gaming combination,Tryhard,hype,clear,False
"I'm so excited to do homework, said no one ever, GTRM","I'm clearly not excited to do homework, that's just a lie",GTRM,sarcastic,clear,False
He thinks he has BDE just because he wore a suit to prom,He thinks he exudes confidence just because he wore a suit to prom,BDE,sarcastic,clear,False
"Today's been a total mess, guess it's just Reset Day","Today has been a complete disaster, I suppose it is a day to start over",Reset Day,annoyed,clear,False
I totally ship them getting lost on the way to prom,I highly doubt they will even arrive at prom together,Ship,sarcastic,clear,False
I'm stuck as the third wheel on their tandem bike,I am sitting on the third wheel of their two person bicycle,Third Wheel,playful,ambiguous,True
