id,type,direction,strat,input,reference,slang_term,meaning,base_output,tuned_output,base_rater1,base_rater2,tuned_rater1,tuned_rater2
e2e_000,translate,to_english,real,She has such beta af energy today.,She has such extremely beta energy today.,beta af,extremely beta,"The translation to English is:

""She has such a lot of energy today.""

Or, in a more casual and informal tone:

""She's got so much energy today.""",She has such extremely beta energy today.,,,,
e2s_000,translate,to_slang,real,She has such extremely beta energy today.,She has such beta af energy today.,beta af,extremely beta,"To translate that to Gen Z slang, I'd say:

""She's low-key savage today.""

Here's a breakdown of the translation:

- ""Low-key"" means secretly or quietly, but with a hint of intensity.
- ""Savage"" is a term used to describe someone who's being ruthless, fierce, or unapologetically themselves, often in a humorous or playful way.

So",She has such beta af energy today.,,,,
e2e_001,translate,to_english,trending,He was being totally lowkey take at the party.,He was being totally somewhat secretly at the party.,lowkey take,somewhat secretly,"The translation is:

""He was being totally low-key at the party.""

In this context, ""lowkey"" is an adjective that means secretly, quietly, or not openly. So, the sentence is saying that he was being secretive or unobtrusive at the party, perhaps not drawing attention to himself.",He was being totally extremely lowkey at the party.,,,,
e2s_001,translate,to_slang,trending,He was being totally somewhat secretly at the party.,He was being totally lowkey take at the party.,lowkey take,somewhat secretly,"Here's the translation:

""He was low-key, high-key hiding it, but also kinda sneaking around at the party.""

Here's a breakdown of the slang used:

- ""Low-key"" means secretly or quietly.
- ""High-key"" means openly or obviously.
- ""Hiding it"" means keeping something private or concealed.
- ""Sneaking around"" means moving around discreetly or",He was being totally lowkey at the party.,,,,
e2e_002,translate,to_english,viral,My friend group chat was giving fr energy all day.,My friend group chat was giving extremely for real energy all day.,so fr,extremely for real,"The translation of the given phrase to English is:

""My friend group chat was giving me all the energy I needed all day.""

However, a more common and idiomatic translation would be:

""My friend group chat was giving me all the energy I needed all day.""

Or, in a more casual tone:

""My friend group chat was giving me all the energy I needed today.""

But the most common translation would","My friend group chat was giving for real, seriously energy all day.",,,,
e2s_002,translate,to_slang,viral,My friend group chat was giving extremely for real energy all day.,My friend group chat was giving fr energy all day.,so fr,extremely for real,"The translation to Gen Z slang would be:

""My squad's group chat was straight fire all day, no cap.""

Here's a breakdown of the translation:

- ""Squad"" refers to a close-knit group of friends.
- ""Group chat"" is a chat room for a group of people.
- ""Straight fire"" means something is exceptionally good or exciting.
- ""No cap"" is",My friend group chat was giving fr energy all day.,,,,
e2e_003,translate,to_english,real,That fit is so he cooked.,That outfit is so he did it perfectly.,so he cooked,extremely he did it perfectly,"The translation of ""That fit is so he cooked"" to English is: ""That fits is so he cooks.""",That outfit is so he did it perfectly.,,,,
e2s_003,translate,to_slang,real,That outfit is so he did it perfectly.,That fit is so he cooked.,so he cooked,extremely he did it perfectly,"That outfit is straight fire, no cap.",That fit is so he cooked.,,,,
e2e_004,translate,to_english,trending,"You cooked so hard, that was peak ghosted af.","You did so well, that was peak extremely stopped responding completely.",ghosted af,extremely stopped responding completely,"The translation of the given phrase is:

""You cooked so hard, that was peak ghosted af.""

This phrase is a play on words, using a combination of slang and internet culture references.

- ""Cooked"" is a slang term that means to get someone's attention, often in a romantic or social context. It's similar to saying ""hit it hard"" or ""make a move.""

-","You did so well, that was peak extremely being genuinely shocked.",,,,
e2s_004,translate,to_slang,trending,"You did so well, that was peak extremely stopped responding completely.","You cooked so hard, that was peak ghosted af.",ghosted af,extremely stopped responding completely,"Here's the translation to Gen Z slang:

""You crushed it, that was lowkey fire, but then you just ghosted everyone and stopped responding, no cap.""

Here's a breakdown of the slang used:

- ""Crushed it"" means you did an amazing job.
- ""Lowkey fire"" means something was really good, but not extremely good (it's a subtle compliment).
- ""","You cooked so hard, that was peak bricked.",,,,
e2e_005,translate,to_english,viral,Not me acting all iykyk at the worst time.,Not me acting all if you know you know at the worst time.,iykyk,if you know you know,"The translation of the given phrase in English is:

""Not me acting all immature (or silly) at the worst time.""",Not me acting all if you know you know at the worst time.,,,,
e2s_005,translate,to_slang,viral,Not me acting all if you know you know at the worst time.,Not me acting all iykyk at the worst time.,iykyk,if you know you know,"Here's the translation:

""Not me, acting all extra (or being dramatic) if you know, and it's at the worst possible time.""

Here's a breakdown of the slang used:

- ""Not me"" is a casual way of saying ""I'm not"" or ""I'm not being.""
- ""Acting all"" is an idiomatic expression meaning ""being dramatic"" or ""over",Not me acting all iykyk at the worst time.,,,,
e2e_006,translate,to_english,real,"You cooked so hard, that was peak stan af.","You did so well, that was peak extremely stan.",stan af,extremely stan,"The translation is:

""You cooked so hard, that was peak stan af.""

This appears to be a phrase from internet culture, specifically from the ""Stan"" community, which is a fandom of a particular celebrity, in this case, likely a chef or someone who is very enthusiastic about cooking.

""Peak Stan"" is likely referring to the idea that the person's enthusiasm or dedication to cooking has reached its","You did so well, that was peak extremely stan.",,,,
e2s_006,translate,to_slang,real,"You did so well, that was peak extremely stan.","You cooked so hard, that was peak stan af.",stan af,extremely stan,"Here's the translation to Gen Z slang:

""You did amazing, that was literally the best, I'm completely obsessed and can't even handle how good it was.""

Breakdown:

- ""You did amazing"" = ""You did so well"" (expressing admiration and approval)
- ""that was literally the best"" = ""peak"" (meaning something is at its highest or best)
- ""","You cooked so hard, that was peak stan.",,,,
e2e_007,translate,to_english,trending,I can not believe how on god that turned out.,I can not believe how seriously that turned out.,on god,seriously,"The translation of the given phrase is:

""I can't believe how on God that turned out.""

This is a casual, informal way of expressing surprise or astonishment. The phrase is often used in American English, particularly in informal settings or in text messages.","I can not believe how seriously, absolutely for real that turned out.",,,,
e2s_007,translate,to_slang,trending,I can not believe how seriously that turned out.,I can not believe how on god that turned out.,on god,seriously,"Here are a few options:

- ""I'm dead, that was SO lit and turned out exactly how I hoped!""
- ""I'm shook, that was a total success and I'm so here for it!""
- ""I'm low-key impressed, that actually went off without a hitch!""
- ""I'm dying over here, that was a total win and I'm so proud of myself!""",I can not believe how dead ass that turned out.,,,,
e2e_008,translate,to_english,viral,She has such extra af energy today.,She has such extremely extra energy today.,extra af,extremely extra,"The translation of ""She has such extra af energy today"" to English is:

""She has such extra energy today.""

However, it's worth noting that the word ""af"" is often used as a slang abbreviation for ""after,"" but in this context, it seems to be used as an intensifier, similar to ""very"" or ""extremely.""",She has such extremely extra energy today.,,,,
e2s_008,translate,to_slang,viral,She has such extremely extra energy today.,She has such extra af energy today.,extra af,extremely extra,She's hella lit and turnt up today.,She has such extra energy today.,,,,
e2e_009,translate,to_english,real,"Wait, was that not completely bare minimum?","Wait, was that not completely extremely bare minimum?",so bare minimum,extremely bare minimum,"The translation is: ""Wait, wasn't that just the absolute minimum?""","Wait, was that not completely extremely bare minimum?",,,,
e2s_009,translate,to_slang,real,"Wait, was that not completely extremely bare minimum?","Wait, was that not completely bare minimum?",so bare minimum,extremely bare minimum,"To translate that to Gen Z slang, you could say:

""Yaaas, that was hella lowkey basic, bruh.""

Here's a breakdown of the translation:

- ""Yaaas"" is an expression of agreement or confirmation.
- ""Hella"" is an intensifier, similar to ""extremely"" or ""very.""
- ""Lowkey"" means secretly or subtly,","Wait, was that not completely bare minimum?",,,,
e2e_010,translate,to_english,trending,The internet blew up because that was straight ratio.,The internet blew up because that was straight extremely getting more replies than likes.,so ratio,extremely getting more replies than likes,"The phrase ""straight ratio"" is likely a reference to a popular internet meme. In this context, ""straight ratio"" is a play on words, as ""ratio"" sounds similar to ""straight,"" but it's also a phrase used to describe a situation where someone is being completely honest or straightforward, often in a humorous or ironic way.

So, when you say ""The internet blew up because that",The internet blew up because that was straight getting more replies than likes.,,,,
e2s_010,translate,to_slang,trending,The internet blew up because that was straight extremely getting more replies than likes.,The internet blew up because that was straight ratio.,so ratio,extremely getting more replies than likes,"The internet lost its mind because that post was low-key getting more responses than likes.

Here's a breakdown of the translation:

- ""The internet blew up"" means that the internet went crazy or went wild, often used to describe a situation where a lot of people are talking or sharing about something.
- ""That was straight"" is an expression that means something is extremely or totally true. It's",The internet blew up because that was straight ratio.,,,,
e2e_011,translate,to_english,viral,I went into full hard launch af mode and had no regrets.,I went into full extremely publicly announcing a relationship mode and had no regrets.,hard launch af,extremely publicly announcing a relationship,"The translation of the given phrase is:

""I went into full hard launch mode and had no regrets.""

In this context, ""hard launch"" is likely being used figuratively to mean going all-in or fully committing to something, often with a sense of intensity or abandon. The phrase is likely being used to express a sense of confidence and determination, as if the person is fully embracing a particular approach or",I went into full extremely hard launch mode and had no regrets.,,,,
e2s_011,translate,to_slang,viral,I went into full extremely publicly announcing a relationship mode and had no regrets.,I went into full hard launch af mode and had no regrets.,hard launch af,extremely publicly announcing a relationship,"Here's the translation to Gen Z slang:

""I went full-on, no cap, lowkey or highkey, openly and honestly, no regrets, and I'm deadass loving every minute of it.""

Here's a breakdown of the slang used:

- ""Full-on"" means completely or entirely.
- ""No cap"" is an expression used to emphasize the truth or authenticity of something.
- """,I went into full hard launch mode and had no regrets.,,,,
e2e_012,translate,to_english,real,He is they cooked af.,He is extremely they cooked.,they cooked af,extremely they cooked,"The translation to English is: ""He is really, really good at cooking.""",He is extremely they cooked.,,,,
e2s_012,translate,to_slang,real,He is extremely they cooked.,He is they cooked af.,they cooked af,extremely they cooked,He's low-key a total savage.,He is they cooked.,,,,
