slang_term,meaning,category,platform,example_sentence,date_added,frequency_score,trend_status
rizz,charisma or flirting skill,compliment,TikTok,bro has insane rizz,2026-03-18,80,trending
delulu,being delusional,humor,TikTok,she is delulu,2026-03-18,80,trending
mid,average or not good,criticism,Instagram,that movie was mid,2026-03-18,80,trending
sus,suspicious,expression,Discord,he acting sus,2026-03-18,80,trending
goofy,silly or weird,insult,TikTok,he acting goofy,2026-03-18,75,trending
ahh,expression filler,expression,Chat,goofy ahh guy,2026-03-18,75,trending
cook,do something well,expression,Chat,let him cook,2026-03-18,75,trending
cooked,in trouble or did well,expression,Chat,he cooked,2026-03-18,75,trending
nah fr,seriously,expression,Chat,nah fr that's true,2026-03-18,75,trending
frfr,for real for real,expression,Chat,that crazy frfr,2026-03-18,75,trending
wtf,what the hell,reaction,Chat,wtf was that,2026-03-18,75,trending
idk,i don't know,expression,Chat,idk bro,2026-03-18,75,trending
imo,in my opinion,expression,Chat,imo it's good,2026-03-18,75,trending
irl,in real life,expression,Chat,not same irl,2026-03-18,75,trending
af,as f***,expression,Chat,tired af,2026-03-18,75,trending
ngl,not gonna lie,expression,Chat,ngl that was good,2026-03-18,75,trending
tbh,to be honest,expression,Chat,tbh I agree,2026-03-18,75,trending
glazing,overpraising,criticism,TikTok,stop glazing him,2026-03-18,75,trending
meatriding,excessive support,insult,TikTok,he meatriding,2026-03-18,75,trending
corny,cringey,criticism,Chat,that's corny,2026-03-18,75,trending
valid,acceptable,expression,Chat,that's valid,2026-03-18,75,trending
invalid,not acceptable,expression,Chat,that's invalid,2026-03-18,75,trending
down bad,desperate,emotion,Chat,he down bad,2026-03-18,75,trending
locked in,focused,expression,Chat,I'm locked in,2026-03-18,75,trending
outta pocket,unexpected,expression,Chat,that's outta pocket,2026-03-18,75,trending
say less,understood,expression,Chat,say less bro,2026-03-18,75,trending
on god,seriously,expression,Chat,I'm serious ong,2026-03-18,75,trending
deadass,seriously,expression,Chat,I'm deadass,2026-03-18,75,trending
hella,very,expression,Chat,hella funny,2026-03-18,75,trending
yapping,talking too much,criticism,Chat,he yapping,2026-03-18,75,trending
low effort,not trying,criticism,Chat,that's low effort,2026-03-18,75,trending
tryhard,over trying,criticism,Gaming,he tryhard,2026-03-18,75,trending
clutch,important success,compliment,Gaming,that was clutch,2026-03-18,75,trending
throwing,losing intentionally,criticism,Gaming,he throwing,2026-03-18,75,trending
big vibe,genz style expression,expression,Social Media,that is big vibe,2026-03-18,70,generated
lowkey energy,genz style expression,expression,Social Media,that is lowkey energy,2026-03-18,70,generated
